ROOM_CODE|ROOM_DESCRIPTION|ROOM_TYPE|ROOM_TYPEDESCRIPTION|ROOM_CHARACTERISTIC|ROOM_CHARACTERISTICDESCRIPTION|
APT.1B|APARTMENT ONE BED|APT|APARTMENT|1B|ONE BED|
APT.1B-1|APARTMENT ONE BED|APT|APARTMENT|1B-1|ONE BED|
APT.1B-DX|APARTMENT DELUXE ONE BED|APT|APARTMENT|1B-DX|DELUXE ONE BED|
APT.1W-B1|APARTMENT ONE BEDROOM ONE BATHROOM|APT|APARTMENT|1W-B1|ONE BEDROOM ONE BATHROOM|
APT.1W-B2|APARTMENT TWO BEDROOMS ONE BATHROOM|APT|APARTMENT|1W-B2|TWO BEDROOMS ONE BATHROOM|
APT.1W-B3|APARTMENT THREE BEDROOMS ONE BATHROOM|APT|APARTMENT|1W-B3|THREE BEDROOMS ONE BATHROOM|
APT.1W-B4|APARTMENT FOUR BEDROOMS ONE BATHROOM|APT|APARTMENT|1W-B4|FOUR BEDROOMS ONE BATHROOM|
APT.2B|APARTMENT TWO BEDS|APT|APARTMENT|2B|TWO BEDS|
APT.2B-1|APARTMENT TWO BEDS|APT|APARTMENT|2B-1|TWO BEDS|
APT.2B-CV|APARTMENT CITY VIEW TWO BEDS|APT|APARTMENT|2B-CV|CITY VIEW TWO BEDS|
APT.2B-DX|APARTMENT DELUXE TWO BEDS|APT|APARTMENT|2B-DX|DELUXE TWO BEDS|
APT.2D|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D|TWO DOUBLE BEDS|
APT.2D-1|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-1|TWO DOUBLE BEDS|
APT.2D-2|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-2|TWO DOUBLE BEDS|
APT.2D-3|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-3|TWO DOUBLE BEDS|
APT.2D-4|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-4|TWO DOUBLE BEDS|
APT.2D-5|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-5|TWO DOUBLE BEDS|
APT.2D-6|APARTMENT TWO DOUBLE BEDS|APT|APARTMENT|2D-6|TWO DOUBLE BEDS|
APT.2D-AS|APARTMENT CLASSIC TWO DOUBLE BEDS|APT|APARTMENT|2D-AS|CLASSIC TWO DOUBLE BEDS|
APT.2D-DX|APARTMENT DELUXE TWO DOUBLE BEDS|APT|APARTMENT|2D-DX|DELUXE TWO DOUBLE BEDS|
APT.2D-SU|APARTMENT SUPERIOR TWO DOUBLE BEDS|APT|APARTMENT|2D-SU|SUPERIOR TWO DOUBLE BEDS|
APT.2K|APARTMENT TWO KING BEDS|APT|APARTMENT|2K|TWO KING BEDS|
APT.2Q|APARTMENT TWO QUEEN BEDS|APT|APARTMENT|2Q|TWO QUEEN BEDS|
APT.2Q-B1|APARTMENT TWO QUEEN BEDS ONE BEDROOM|APT|APARTMENT|2Q-B1|TWO QUEEN BEDS ONE BEDROOM|
APT.2Q-DX|APARTMENT DELUXE TWO QUEEN BEDS|APT|APARTMENT|2Q-DX|DELUXE TWO QUEEN BEDS|
APT.2Q-NM|APARTMENT TWO QUEEN BEDS NON SMOKING|APT|APARTMENT|2Q-NM|TWO QUEEN BEDS NON SMOKING|
APT.2Q-OV|APARTMENT OCEAN VIEW TWO QUEEN BEDS|APT|APARTMENT|2Q-OV|OCEAN VIEW TWO QUEEN BEDS|
APT.2W-B1|APARTMENT ONE BEDROOM TWO BATHROOMS|APT|APARTMENT|2W-B1|ONE BEDROOM TWO BATHROOMS|
APT.2W-B2|APARTMENT TWO BEDROOMS TWO BATHROOMS|APT|APARTMENT|2W-B2|TWO BEDROOMS TWO BATHROOMS|
APT.2W-B3|APARTMENT THREE BEDROOMS TWO BATHROOMS|APT|APARTMENT|2W-B3|THREE BEDROOMS TWO BATHROOMS|
APT.2W-B4|APARTMENT FOUR BEDROOMS TWO BATHROOMS|APT|APARTMENT|2W-B4|FOUR BEDROOMS TWO BATHROOMS|
APT.2W-B6|APARTMENT SIX BEDROOMS TWO BATHROOMS|APT|APARTMENT|2W-B6|SIX BEDROOMS TWO BATHROOMS|
APT.3B|APARTMENT THREE BEDS|APT|APARTMENT|3B|THREE BEDS|
APT.3W-B3|APARTMENT THREE BEDROOMS THREE BATHROOMS|APT|APARTMENT|3W-B3|THREE BEDROOMS THREE BATHROOMS|
APT.3W-B4|APARTMENT FOUR BEDROOMS THREE BATHROOMS|APT|APARTMENT|3W-B4|FOUR BEDROOMS THREE BATHROOMS|
APT.AC|APARTMENT WITH AIR CONDITIONING|APT|APARTMENT|AC|WITH AIR CONDITIONING|
APT.AC-1|APARTMENT WITH AIR CONDITIONING|APT|APARTMENT|AC-1|WITH AIR CONDITIONING|
